## Most of these Rules are 
Description	Resource	Path	Location	Type
#1376-D (MISRA-C:2004 1.1/R) Ensure strict ANSI C mode (-ps) is enabled	Platform_Types.h	/MegaProject/LIB	line 17	C/C++ Problem
#1376-D (MISRA-C:2004 1.1/R) Ensure strict ANSI C mode (-ps) is enabled	RC_Car.h	/MegaProject/APP	line 37	C/C++ Problem
#1383-D (MISRA-C:2004 8.1/R) Functions shall have prototype declarations and the prototype shall be visible at both the function definition and call	main.c	/MegaProject	line 22	C/C++ Problem
#1391-D (MISRA-C:2004 9.2/R) Braces shall be used to indicate and match the structure in the non-zero initialization of arrays and structures	RC_Car.c	/MegaProject/APP	line 37	C/C++ Problem
#1428-D (MISRA-C:2004 19.7/A) A function should be used in preference to a function-like macro	Bit_Math.h	/MegaProject/LIB	line 17	C/C++ Problem
#1428-D (MISRA-C:2004 19.7/A) A function should be used in preference to a function-like macro	Bit_Math.h	/MegaProject/LIB	line 18	C/C++ Problem
#1428-D (MISRA-C:2004 19.7/A) A function should be used in preference to a function-like macro	Bit_Math.h	/MegaProject/LIB	line 19	C/C++ Problem
#1428-D (MISRA-C:2004 19.7/A) A function should be used in preference to a function-like macro	Bit_Math.h	/MegaProject/LIB	line 20	C/C++ Problem
#1428-D (MISRA-C:2004 19.7/A) A function should be used in preference to a function-like macro	Bit_Math.h	/MegaProject/LIB	line 21	C/C++ Problem
#1428-D (MISRA-C:2004 19.7/A) A function should be used in preference to a function-like macro	Bit_Math.h	/MegaProject/LIB	line 22	C/C++ Problem
#1428-D (MISRA-C:2004 19.7/A) A function should be used in preference to a function-like macro	Bit_Math.h	/MegaProject/LIB	line 23	C/C++ Problem
#1435-D (MISRA-C:2004 20.1/R) Reserved identifiers, macros and functions in the standard library, shall not be defined, redefined or undefined ("NULL")	Std_Types.h	/MegaProject/LIB	line 24	C/C++ Problem
#1496-D (MISRA-C:2004 5.6/A) No identifier in one name space should have the same spelling as an identifier in another name space, with the exception of structure member and union member names ("Channel")	PWM.h	/MegaProject/MCAL/PWM	line 45	C/C++ Problem
#1496-D (MISRA-C:2004 5.6/A) No identifier in one name space should have the same spelling as an identifier in another name space, with the exception of structure member and union member names ("Channel")	PWM.h	/MegaProject/MCAL/PWM	line 47	C/C++ Problem
#1496-D (MISRA-C:2004 5.6/A) No identifier in one name space should have the same spelling as an identifier in another name space, with the exception of structure member and union member names ("Sequencer")	ADC.h	/MegaProject/MCAL/ADC	line 76	C/C++ Problem
#1496-D (MISRA-C:2004 5.6/A) No identifier in one name space should have the same spelling as an identifier in another name space, with the exception of structure member and union member names ("Sequencer")	ADC.h	/MegaProject/MCAL/ADC	line 77	C/C++ Problem
#1496-D (MISRA-C:2004 5.6/A) No identifier in one name space should have the same spelling as an identifier in another name space, with the exception of structure member and union member names ("Sequencer")	ADC.h	/MegaProject/MCAL/ADC	line 78	C/C++ Problem
#1496-D (MISRA-C:2004 5.6/A) No identifier in one name space should have the same spelling as an identifier in another name space, with the exception of structure member and union member names ("Sequencer")	ADC.h	/MegaProject/MCAL/ADC	line 79	C/C++ Problem
#1496-D (MISRA-C:2004 5.6/A) No identifier in one name space should have the same spelling as an identifier in another name space, with the exception of structure member and union member names ("Sequencer")	ADC.h	/MegaProject/MCAL/ADC	line 80	C/C++ Problem
